ID,ID_num,Site,Weather,Y,M,D,時段,Location_x,Location_y,H,M,S,Sp.,#,Ht,Dis,Dir,Ha1,MH2,Wa3,Sl(°)4,C(%)5,U(%)6,Ar (%),So (%),Wa (%),El (%),Be7,Note
2.0231E+12,9,岡林農路,,2023,10,13,2,23.0172398.120.4042936,,16,52,20,紅嘴黑鵯,1,8,4,E,1,8,4,-,70,20,30,0,0,50,3,
2.0231E+12,10,岡林農路,,2023,10,13,2,23.0145076,120.4038611,17,0,0,白頭翁,1,8,4,W,1,7,1,-,20,30,10,60,0,0,3,
2.0231E+12,11,岡林農路,,2023,10,13,2,23.0138432,120.4035942,17,5,0,白頭翁,1,－,－,W,1,7,1,-,60,20,30,0,0,50,2,僅聲音
2.0231E+12,12,岡林農路,,2023,10,13,2,23.0132908,120.4043224,17,11,25,紅嘴黑鵯,1,4,4.5,E,9,8,1,-,10,20,80,0,0,0,3,
2.0231E+12,13,岡林農路,,2023,10,13,2,23.0130745,120.4043117,17,14,45,黑枕藍鶲,1,3,3,NW→SE,1,8,1,-,30,10,40,50,0,0,5,
2.0231E+12,14,岡林農路,,2023,10,13,2,23.0115726,120.4041216,17,22,35,大卷尾,2,4,2,S→N,9,8,1,-,60,10,10,0,0,80,5,
2.0231E+12,15,岡林農路,,2023,10,13,2,23.010476,120.4048522,17,27,0,珠頸斑鳩,2,10,6,E,1,7,1,-,90,0,0,0,0,0,3,
2.0231E+12,16,岡林農路,,2023,10,13,2,23.0098996,120.4045695,17,31,0,大卷尾,1,5,1,E,2,8,1,-,0,50,50,0,0,0,3,
2.0231E+12,1,過溪路,,2023,10,14,1,23.05881,120.40085,6,36,49,白頭翁,4,4,5,N,9,8,0,3,20,30,70,0,0,0,3,
2.0231E+12,2,過溪路,,2023,10,14,1,23.05925,120.40238,6,41,49,紅鳩,3,6,5,E,7,8,0,-4,50,40,60,0,0,0,3,
2.0231E+12,3,過溪路,,2023,10,14,1,23.05925,120.40238,6,43,50,白尾八哥,9,6,5,E,7,8,0,-4,50,40,60,0,0,0,3,
2.0231E+12,4,過溪路,,2023,10,14,1,23.05925,120.40238,6,44,46,小彎嘴,2,－,10,ES,7,8,0,-4,50,40,60,0,0,0,3,
2.0231E+12,5,過溪路,,2023,10,14,1,23.05925,120.40238,6,44,46,栗尾椋鳥,4,6,5,E,7,8,0,-4,50,40,60,0,0,0,3,
2.0231E+12,6,過溪路,,2023,10,14,1,23.05913,120.40269,6,53,5,大卷尾,2,6,50,ES,2,8,0,-4,70,70,30,0,0,0,3,
2.0231E+12,7,過溪路,,2023,10,14,1,23.05937,120.40302,6,56,15,白頭翁,2,4,3,N,1,8,0,-1,20,80,20,0,0,0,3,
2.0231E+12,8,過溪路,,2023,10,14,1,23.06023,120.40326,7,1,26,赤腹松鼠,1,2,5,W,7,8,0,5,60,70,30,0,0,0,5,
2.0231E+12,9,過溪路,,2023,10,14,1,23.06023,120.40326,7,1,26,白頭翁,2,4,3,N,1,8,0,-1,20,80,20,0,0,0,3,
2.0231E+12,10,過溪路,,2023,10,14,1,23.06023,120.40326,7,1,26,虎皮蛙,1,0,－,S,7,8,0,5,60,70,30,0,0,0,2,
2.0231E+12,11,過溪路,,2023,10,14,1,23.06023,120.40326,7,1,26,栗尾椋鳥,2,5,30,E,7,8,0,5,60,70,30,0,0,0,3,
2.0231E+12,12,過溪路,,2023,10,14,1,23.06042,120.40431,7,6,27,白腰鵲鴝,1,－,100,N,1,8,0,-5,60,60,40,0,0,0,2,
2.0231E+12,13,過溪路,,2023,10,14,1,23.06085,120.40498,7,11,13,大卷尾,3,9,15,E,1,8,0,-9,90,70,30,0,0,0,3,
2.0231E+12,14,過溪路,,2023,10,14,1,23.06085,120.40498,7,11,13,栗尾椋鳥,3,9,15,E,1,8,0,-9,90,70,30,0,0,0,3,
2.0231E+12,15,過溪路,,2023,10,14,1,23.06085,120.40498,7,11,13,白尾八哥,1,9,15,E,1,8,0,-9,90,70,30,0,0,0,3,
2.0231E+12,16,過溪路,,2023,10,14,1,23.06085,120.40498,7,11,13,小彎嘴,2,9,15,E,1,8,0,-9,90,70,30,0,0,0,3,
2.0231E+12,17,過溪路,,2023,10,14,1,23.06143,120.40492,7,16,28,洋燕,1,－,－,EN→WS,7,8,0,1,50,5,5,0,0,0,5,
2.0231E+12,18,過溪路,,2023,10,14,1,23.0615,120.40487,7,18,14,樹鵲,1,2,10,NW,9,8,0,5,40,40,60,0,0,0,2,竹林
2.0231E+12,19,過溪路,,2023,10,14,1,23.06293,120.40445,7,23,13,白腰鵲鴝,1,3,15,E,9,8,0,0,60,70,30,0,0,0,2,
2.0231E+12,20,過溪路,,2023,10,14,1,23.064,120.40395,7,26,30,白頭翁,5,3,3,N,7,8,0,6,40,60,40,0,0,0,3,
2.0231E+12,21,過溪路,,2023,10,14,1,23.06546,120.40457,7,31,0,小彎嘴,2,－,70,N,9,8,0,4,90,60,40,0,0,0,2,竹林
2.0231E+12,22,過溪路,,2023,10,14,1,23.06546,120.40457,7,31,0,鳳頭蒼鷹,1,－,70,N,9,8,0,4,90,60,40,0,0,0,2,竹林，有錄音紀錄，不確定是誰的鳥音，聲音類似鳳頭蒼鷹所以暫定
2.0231E+12,23,過溪路,,2023,10,14,1,23.06855,120.40463,7,40,45,小彎嘴,2,－,15,E&W,9,8,0,0,70,60,35,5,0,0,2,竹林
2.0231E+12,24,過溪路,,2023,10,14,1,23.06855,120.40463,7,40,45,白頭翁,1,－,15,E,9,8,0,0,70,60,35,5,0,0,5,竹林
2.0231E+12,25,過溪路,,2023,10,14,1,23.06855,120.40463,7,40,45,洋燕,1,－,－,E,9,8,0,0,70,60,35,5,0,0,5,竹林
2.0231E+12,26,過溪路,,2023,10,14,1,23.07008,120.40458,7,47,45,洋燕,3,5,10,WN,1,8,1,2,40,75,20,0,5,0,3,
2.0231E+12,27,過溪路,,2023,10,14,1,23.07056,120.40495,7,55,59,五色鳥,1,－,3000,ES,1,7,0,－,100,100,0,0,0,0,2,
2.0231E+12,28,過溪路,,2023,10,14,1,23.07069,120.40373,7,59,30,紅鳩,2,4,25,WS,9,8,0,8,5,20,80,0,0,0,3,住宅
2.0231E+12,29,過溪路,,2023,10,14,1,23.07069,120.40373,7,59,30,麻雀,1,－,－,WS,9,8,0,8,5,20,80,0,0,0,5,
2.0231E+12,30,過溪路,,2023,10,14,1,23.07069,120.40373,7,59,30,洋燕,1,4,2,WS,9,8,0,8,5,20,80,0,0,0,5,
2.0231E+12,31,過溪路,,2023,10,14,1,23.07056,120.40279,8,3,46,五色鳥,1,－,－,WN,1,9,0,-3,60,80,10,10,0,0,2,樹林
2.0231E+12,32,過溪路,,2023,10,14,1,23.07056,120.40279,8,3,46,小卷尾,1,3,5,WS,1,9,0,-3,60,80,10,10,0,0,3,
2.0231E+12,33,過溪路,,2023,10,14,1,23.07056,120.40279,8,3,46,赤腹松鼠,1,1,15,WS,1,9,0,-3,60,80,10,10,0,0,5,
2.0231E+12,34,過溪路,,2023,10,14,1,23.07056,120.40279,8,3,46,紅尾伯勞,1,18,30,WS,1,9,0,-3,60,80,10,10,0,0,2+3,
2.0231E+12,35,過溪路,,2023,10,14,1,23.07028,120.40184,8,12,54,斑文鳥,2,4,10,W,7,1,0,9,30,60,40,0,0,0,3,
2.0231E+12,36,過溪路,,2023,10,14,1,23.07046,120.40157,8,16,19,樹鵲,5,－,－,W,1,8,0,7,40,70,30,0,0,0,5,
2.0231E+12,37,過溪路,,2023,10,14,1,23.07046,120.40157,8,16,19,洋燕,2,－,－,W,1,8,0,7,40,70,30,0,0,0,5,
2.0231E+12,38,過溪路,,2023,10,14,1,23.07046,120.40157,8,16,19,小彎嘴,1,－,－,W,1,8,0,7,40,70,30,0,0,0,2,
2.0231E+12,39,過溪路,,2023,10,14,1,23.07046,120.40157,8,16,19,白腰鵲鴝,1,2,4,W,1,8,0,7,40,70,30,0,0,0,2,
2.0231E+12,40,過溪路,,2023,10,14,1,23.07046,120.40157,8,16,19,黑枕藍鶲,2,4,4,W,1,8,0,7,40,70,30,0,0,0,5,
2.0231E+12,41,過溪路,,2023,10,14,1,23.07046,120.40157,8,19,20,五色鳥,1,－,－,W,1,8,0,7,40,70,30,0,0,0,2,
2.0231E+12,42,過溪路,,2023,10,14,1,23.07141,120.40174,8,20,25,棕背伯勞,1,5,25,EW,7,8,0,6,80,80,20,0,0,0,3+2,
2.0231E+12,43,過溪路,,2023,10,14,1,23.07046,120.40157,8,26,45,小彎嘴,3,4,15,W,1,8,0,7,40,70,30,0,0,0,5,
2.0231E+12,44,過溪路,,2023,10,14,1,23.0704,120.40397,8,33,45,竹雞,1,－,－,S,1,7,0,－,100,0,0,0,0,0,2,樹林
2.0231E+12,1,岡林農路,,2023,10,15,1,23.0195764,120.3978467,6,33,15,大卷尾,1,6,2,E,9,8,0,-,40,30,70,0,0,0,3,在民房屋頂
2.0231E+12,2,岡林農路,,2023,10,15,1,23.0195764,120.3978467,6,33,15,家燕,1,6,2,E,9,8,0,-,40,30,70,0,0,0,3,在民房屋頂
2.0231E+12,3,岡林農路,,2023,10,15,1,23.0194783,120.3980139,6,38,23,白頭翁,1,3,3,E→W,1,3,0,-,80,0,0,50,0,50,5,EL為竹林
2.0231E+12,4,岡林農路,,2023,10,15,1,23.0192009,120.3985501,6,42,25,白頭翁,2,5,2,－,1,7,0,－,60,80,20,0,0,0,3,
2.0231E+12,5,岡林農路,,2023,10,15,1,23.0192493,120.3989342,6,45,40,紅嘴黑鵯,1,6,4,S→N,1,7,1,-,40,60,20,20,0,0,5,起飛前鳴叫
2.0231E+12,6,岡林農路,,2023,10,15,1,23.0199106,120.4006394,6,49,50,黑枕藍鶲,1,－,－,－,1,3,1,－,100,50,0,50,0,0,2,只有聲音(鳥音101523-19)
2.0231E+12,7,岡林農路,,2023,10,15,1,23.0199498,120.400903,6,57,20,白腰鵲鴝,1,3,2,E,1,3,1,-,80,0,20,0,0,80,3,多為竹林
2.0231E+12,8,岡林農路,,2023,10,15,1,23.0199498,120.400903,6,57,20,赤腹松鼠,1,2,4,E,1,3,1,-,80,0,20,0,0,80,-,多為竹林
2.0231E+12,9,岡林農路,,2023,10,15,1,23.0187506,120.4006394,7,7,35,家燕,1,6,2,－,1,1,1,－,40,80,20,0,0,0,5,來回飛
2.0231E+12,10,岡林農路,,2023,10,15,1,23.018118,120.4033532,7,13,30,樹鵲,2,－,－,－,1,3,1,－,100,50,0,50,0,0,2,只有聲音(鳥音 v101523-21
2.0231E+12,11,岡林農路,,2023,10,15,1,23.018118,120.4033532,7,14,10,珠頸斑鳩,2,8,4,N→S,1,7,1,-,80,50,10,40,0,0,5,
2.0231E+12,12,岡林農路,,2023,10,15,1,23.0140746,120.4040331,7,30,20,大卷尾,1,6,6,E→W,9,8,1,-,60,20,30,50,0,0,5,大捲尾 白尾八哥共用一根電線距離很近
2.0231E+12,13,岡林農路,,2023,10,15,1,23.0140746,120.4040331,7,30,20,白尾八哥,1,6,6,W,9,8,1,-,60,20,30,50,0,0,5,
2.0231E+12,14,岡林農路,,2023,10,15,1,23.0142095,120.4040334,7,34,25,綠鳩,2,7,9,W,1,3,1,-,80,30,0,70,0,0,3,
2.0231E+12,15,岡林農路,,2023,10,15,1,23.0138204,120.4035612,7,39,55,竹雞,2,0,1,N→S,2,3,1,-,50,80,0,20,0,0,5,隱藏於低矮灌叢內
2.0231E+12,16,岡林農路,,2023,10,15,1,23.0130202,120.4041323,7,45,30,家燕,4,7,1,W,1,8,1,-,50,20,50,30,0,0,3,
2.0231E+12,17,岡林農路,,2023,10,15,1,23.0130202,120.4041323,7,45,30,白頭翁,2,7,1,W,1,8,1,-,50,20,50,30,0,0,3,
2.0231E+12,18,岡林農路,,2023,10,15,1,23.0128214,120.4040053,7,48,40,五色鳥,2,4,5,N,1,3,1,-,70,80,0,20,0,0,3,
2.0231E+12,19,岡林農路,,2023,10,15,1,23.0128214,120.4040053,7,48,40,樹鵲,1,4,5,N,1,3,1,-,70,80,0,20,0,0,3,
2.0231E+12,20,岡林農路,,2023,10,15,1,23.0089488,120.4048257,8,2,25,家燕,2,7,1,W,9,8,1,-,0,40,0,60,0,0,3,兩條水泥道路交會處
2.0231E+12,21,岡林農路,,2023,10,15,1,23.0084936,120.403391,8,13,0,虎皮蛙,3,0,1,E,9,5,1,-,0,0,50,0,0,50,-,在水溝內
2.0231E+12,22,岡林農路,,2023,10,15,1,23.012365,120.4038956,8,23,30,大卷尾,1,7,6,W,1,3,1,-,40,20,80,0,0,0,3,
2.0231E+12,1,山豹,,2023,10,20,2,23.014107,120.3972676,14,37,0,樹鵲,2,3,15,NE,1,8,1,-1,80,70,0,20,10,0,2,
2.0231E+12,2,山豹,,2023,10,20,2,23.014107,120.3972676,14,41,59,細帶環蛺蝶,1,3,10,NW,1,8,0,-1,10,10,10,80,0,0,3,
2.0231E+12,3,山豹,,2023,10,20,2,23.014107,120.3972676,14,42,59,蛇眼蛺蝶,1,1,10,NE,1,8,0,-1,10,10,10,80,0,0,5,
2.0231E+12,4,山豹,,2023,10,20,2,23.014107,120.3972676,14,45,30,白頭翁,2,7,10,NE→S,1,8,1,-1,60,70,30,0,0,0,5,
2.0231E+12,5,山豹,,2023,10,20,2,23.014107,120.3972676,14,50,51,小紅蜻蜓,1,1,1,E,2,8,0,0,0,70,30,0,0,0,3,
2.0231E+12,6,山豹,,2023,10,20,2,23.014107,120.3972676,14,51,24,大鳳蝶,1,1,1,E,2,8,0,0,0,70,30,0,0,0,5,
2.0231E+12,7,山豹,,2023,10,20,2,23.014107,120.3972676,14,51,56,義大利蜂,1,1,1,E,2,8,0,0,0,70,30,0,0,0,5,
2.0231E+12,8,山豹,,2023,10,20,2,23.014107,120.3972676,14,53,56,紫斑蝶,1,1,1,E,2,8,0,0,0,70,30,0,0,0,5,
2.0231E+12,9,山豹,,2023,10,20,2,23.0144641,120.3959016,14,59,30,白鼻心,2,0,1,SE→N,1,8,0,0,0,70,30,0,0,0,5,疑似被狗嚇到發出驚嚇聲
2.0231E+12,10,山豹,,2023,10,20,2,23.0144641,120.3959016,15,9,18,白頭翁,2,4,4,SW,9,8,0,-5,30,50,30,20,0,0,2,
2.0231E+12,11,山豹,,2023,10,20,2,23.0144641,120.3959016,15,10,0,樹鵲,1,4,5,SW→N,7,8,0,-5,0,50,30,20,0,0,2,
2.0231E+12,12,山豹,,2023,10,20,2,23.0144641,120.3959016,15,15,39,赤腹松鼠,1,0,5,NW,1,8,0,-6,30,50,50,20,0,0,3,
2.0231E+12,13,山豹,,2023,10,20,2,23.0144641,120.3959016,15,20,19,白腰鵲鴝,2,4,35,NE,2,8,0,-9,30,70,0,30,0,0,2,
2.0231E+12,14,山豹,,2023,10,20,2,23.0144641,120.3959016,15,20,21,淡黃碟,4,2,1,NW,1,8,0,-10,0,60,40,0,0,0,5,
2.0231E+12,15,山豹,,2023,10,20,2,23.0148992,120.3951034,15,27,17,鳳頭蒼鷹,2,20,50,N,2,8,0,-4,30,50,50,0,0,0,2,
2.0231E+12,16,山豹,,2023,10,20,2,23.0158385,120.3944891,15,34,5,小彎嘴,1,3,2,NE,1,8,0,-5,10,60,40,0,0,0,2,
2.0231E+12,17,山豹,,2023,10,20,2,23.017022,120.3940221,15,42,59,大卷尾,2,5,8,NE,1,8,0,-3,40,30,70,0,0,0,3,
2.0231E+12,18,山豹,,2023,10,20,2,23.017022,120.3940221,15,44,1,樹鵲,2,6,8,SE→N,1,8,0,-3,40,30,70,0,0,0,2,
2.0231E+12,19,山豹,,2023,10,20,2,23.017886,120.3939819,15,50,16,白頭翁,2,4,10,NE,1,8,0,-10,20,80,10,10,0,0,2,
2.0231E+12,20,山豹,,2023,10,20,2,23.017886,120.3939819,15,55,8,白頭翁,2,5,20,NW→N,2,8,0,-13,30,80,20,0,0,0,2,
2.0231E+12,21,山豹,,2023,10,20,2,23.017886,120.3939819,15,58,0,小彎嘴,1,2,3,NW,1,8,0,-9,50,70,30,0,0,0,5,
2.0231E+12,22,山豹,,2023,10,20,2,23.017886,120.3939819,15,58,3,樹鵲,2,15,50,NE,9,8,0,-9,60,100,0,0,0,0,2,
2.0231E+12,23,山豹,,2023,10,20,2,23.0203222,120.386841,16,4,30,大卷尾,1,6,20,NE,9,8,0,-1,0,20,80,0,0,0,3,
2.0231E+12,24,山豹,,2023,10,20,2,23.0203222,120.386841,16,4,32,小卷尾,1,6,20,E→N,1,8,0,-1,0,20,80,0,0,0,3,
2.0231E+12,25,山豹,,2023,10,20,2,23.0203222,120.386841,16,4,36,五色鳥,1,20,3,E,2,8,0,-1,90,80,20,0,0,0,2,
2.0231E+12,26,山豹,,2023,10,20,2,23.0203222,120.386841,16,10,10,赤腹松鼠,1,0,5,E,2,8,0,0,10,90,10,0,0,0,3,
2.0231E+12,27,山豹,,2023,10,20,2,23.0203222,120.386841,16,10,13,竹雞,1,0,30,NW,1,8,0,0,100,100,0,0,0,0,2,
2.0231E+12,28,山豹,,2023,10,20,2,23.0206753,120.395841,16,18,14,小雨蛙,1,0,1,NW,9,8,0,-3,10,10,90,0,0,0,2,
2.0231E+12,29,山豹,,2023,10,20,2,23.0206753,120.395841,16,18,16,洋燕,5,30,30,SE→N,1,8,0,-4,80,80,20,0,0,0,5,
2.0231E+12,30,山豹,,2023,10,20,2,23.0206753,120.3958208,16,21,15,五色鳥,3,7,30,NE,1,8,0,-4,80,80,20,0,0,0,2,
2.0231E+12,31,山豹,,2023,10,20,2,23.0211409,120.3959975,16,23,29,白環鸚嘴鵯,1,4,6,SE→W,1,8,0,-4,70,90,10,0,0,0,5,
2.0231E+12,32,山豹,,2023,10,20,2,23.0222703,120.3974218,16,32,15,大卷尾,1,17,10,NE,1,8,0,-5,40,80,20,0,0,0,2,
2.0231E+12,33,山豹,,2023,10,20,2,23.0215757,120.3986533,16,41,12,洋燕,1,7,5,NW,1,8,0,-2,90,90,10,0,0,0,3,
2.0231E+12,34,山豹,,2023,10,20,2,23.0215757,120.3986533,16,41,49,白頭翁,4,1,3,NW,1,8,0,-2,90,90,10,0,0,0,3,
2.0231E+12,35,山豹,,2023,10,20,2,23.0215757,120.3986533,16,42,8,紅嘴黑鵯,2,3,7,NW,1,8,0,-2,90,90,10,0,0,0,2,
2.0231E+12,36,山豹,,2023,10,20,2,23.021729,120.3983156,16,45,48,赤腹松鼠,1,6,1,SW,1,8,0,-2,90,70,30,0,0,0,3,
2.0231E+12,37,山豹,,2023,10,20,2,23.021729,120.3983156,16,47,32,白環鸚嘴鵯,1,0,20,SW,1,8,0,-2,90,100,0,0,0,0,3,
2.0231E+12,1,過溪路,,2023,10,21,2,23.05876,120.40083,14,45,33,洋燕,3,5,10,NW,9,8,0,2,10,30,70,0,0,0,3,
2.0231E+12,2,過溪路,,2023,10,21,2,23.05876,120.40083,14,48,12,白頭翁,5,5,10,NW,9,8,0,2,10,30,70,0,0,0,3,
2.0231E+12,3,過溪路,,2023,10,21,2,23.059413,120.401543,14,52,7,白尾八哥,6,5,8,NE,9,8,0,-1,10,20,80,0,0,0,3,
2.0231E+12,4,過溪路,,2023,10,21,2,23.059413,120.401543,14,55,42,大卷尾,2,5,8,NE,9,8,0,-1,10,20,80,0,0,0,3,
2.0231E+12,5,過溪路,,2023,10,21,2,23.05925,120.402327,15,2,5,紅鳩,2,6,10,SE,7,8,0,-4,40,40,60,0,0,0,3,
2.0231E+12,6,過溪路,,2023,10,21,2,23.05925,120.402327,15,4,34,樹鵲,2,8,4,E,7,8,0,-4,40,40,60,0,0,0,3,
2.0231E+12,7,過溪路,,2023,10,21,2,23.05925,120.402327,15,5,51,赤腹松鼠,1,6,6,E,7,8,0,-4,40,40,60,0,0,0,3,
2.0231E+12,8,過溪路,,2023,10,21,2,23.05925,120.402327,15,6,35,栗尾椋鳥,1,6,6,SE,7,8,0,-4,40,40,60,0,0,0,3,
2.0231E+12,9,過溪路,,2023,10,21,2,23.05925,120.402327,15,7,41,白腰鵲鴝,1,7,9,N,7,8,0,-4,40,40,60,0,0,0,3,
2.0231E+12,10,過溪路,,2023,10,21,2,23.059206,120.402443,15,14,6,樹鵲,1,7,5,NW→N,1,8,0,-3,60,40,60,0,0,0,5,
2.0231E+12,11,過溪路,,2023,10,21,2,23.059547,120.403117,15,18,28,小卷尾,1,7,7,NW,1,8,0,-2,20,70,30,0,0,0,3,
2.0231E+12,12,過溪路,,2023,10,21,2,23.060156,120.403164,15,25,51,小卷尾,1,7,6,NE,1,8,0,-2,60,80,20,0,0,0,3,
2.0231E+12,13,過溪路,,2023,10,21,2,23.060156,120.403164,15,26,45,五色鳥,1,4,10,NE,1,8,0,-2,60,70,30,0,0,0,2,
2.0231E+12,14,過溪路,,2023,10,21,2,23.060156,120.403164,15,27,39,大卷尾,2,4,10,E→N,1,8,0,-2,60,80,20,0,0,0,5,
2.0231E+12,15,過溪路,,2023,10,21,2,23.060156,120.403164,15,28,31,竹雞,1,0,5,E,1,8,0,-2,90,70,30,0,0,0,2,
2.0231E+12,16,過溪路,,2023,10,21,2,23.060156,120.403164,15,29,22,紅鳩,3,5,8,E,1,8,0,-2,90,70,30,0,0,0,3,
2.0231E+12,17,過溪路,,2023,10,21,2,23.060567,120.404814,15,41,14,大白鷺,2,5,5,NW,1,8,0,0,90,60,40,0,0,0,2,
2.0231E+12,18,過溪路,,2023,10,21,2,23.060567,120.404814,15,42,36,白腰文鳥,1,6,10,SW,1,8,0,0,90,70,30,0,0,0,3,
